JAPANESE WORD,JAPANESE WORD WITH KANA,ENGLISH WORD,PART OF WORD,SYNONYM,PHONETICS,SENTENCE ID,JAPANESE SENTENCE,JAPANESE HIGHLIGHT,JAPANESE SENTENCE WITH KANA,ENGLISH SENTENCE,ENGLISH SENTENCE WITH CLOZE,ENGLISH AUDIO FILE
チケットを取る,チケットを取(と)る,take a ticket,Verb,,teɪk ə ˈtɪkət,000,すでに3つチケットを取っているので、今週は取れません。,チケットを取っ,すでに3(みっ)つチケットを取(と)っているので、今週(こんしゅう)は取(と)れません。,I can't take a ticket this week because I have already taken 3.,I can't t{{ake}} a t{{icket}} this week because I have already taken 3.,000.mp3
すでに,すでに,already,Adjective,,ɔlˈrɛdi,000,すでに3つチケットを取っているので、今週は取れません。,すでに,すでに3(みっ)つチケットを取(と)っているので、今週(こんしゅう)は取(と)れません。,I can't take a ticket this week because I have already taken 3.,I can't take a ticket this week because I have a{{lready}} taken 3.,000.mp3
プルリクを出す,プルリクを出(だ)す,"make a pull request ",Verb,create a pull request,"meɪk ə pʊl rɪˈkwɛst ",001,昨日、プルリクを出しました。,プルリクを出し,昨日(きのう)、プルリクを出(だ)しました。,"I made a pull request yesterday. ","I m{{ade}} a p{{ull}} {{request}} yesterday. ",001.mp3
開発する,開発(かいはつ)する,develop,Verb,,dɪˈvɛləp,002,今、SNSを開発しています。,開発し,今(いま)、SNSを開発(かいはつ)しています。,I'm developing social media now.,I'm d{{eveloping}} social media now.,002.mp3
修正する,修正(しゅうせい)する,revise,Verb,correct,rɪˈvaɪz,003,修正は今日中に終わると思います。,修正,修正(しゅうせい)は今日中(きょうじゅう)に終(お)わると思(おも)います。,I think I'll revise it by the end of today.,I think I'll r{{evise}} it by the end of today.,003.mp3
マージする,マージする,merge,Verb,,mɜrʤ,004,featureブランチをmainブランチにマージしました。,マージし,featureブランチをmainブランチにマージしました。,I merged the feature branch with the main branch.,I m{{erged}} the feature branch with the main branch.,004.mp3
進める,進(すす)める,"work on ",Verb,"move forward, proceed with (something)","wɜrk ɑn ",005,このチケットは、Kenさんと一緒に進めています。,進め,このチケットは、Kenさんと一緒(いっしょ)に進(すす)めています。,I'm working on this ticket with Ken.,I'm w{{orking}} {{on}} this ticket with Ken.,005.mp3
[システムが]動く,[システムが]動(うご)く,work,Verb,"operate ",wɜrk,006,システムがちゃんと動いてないことがわかった。,動い,システムがちゃんと動(うご)いてないことがわかった。,"I realized that the system was not working properly. ","I realized that the system was not w{{orking}} properly. ",006.mp3
ちゃんと,ちゃんと ※casual,properly,Adjective,,ˈprɑpərli,006,システムがちゃんと動いてないことがわかった。,ちゃんと,システムがちゃんと動(うご)いてないことがわかった。,"I realized that the system was not working properly. ","I realized that the system was not working p{{roperly}}. ",006.mp3
締切に間に合う,締切(しめきり)に間(ま)に合(あ)う,make a deadline,Verb,be in time,meɪk ə ˈdɛˌdlaɪn,007,来週の締切には間に合いそうです。,締切には間に合い,来週(らいしゅう)の締切(しめきり)には間(ま)に合(あ)いそうです。,It seems that we'll make the deadline next week.,It seems that we'll m{{ake}} the d{{eadline}} next week.,007.mp3
