I can't t{{c1::ake}} a t{{c1::icket}} this week because I have already taken 3.	"すでに3つ<font color=""#0000ff"">チケットを取っ</font>ているので、今週は取れません。"	take a ticket	teɪk ə ˈtɪkət	チケットを取る	Verb	[sound:engineer-vocabulary-list_000.mp3]	
I can't take a ticket this week because I have a{{c1::lready}} taken 3.	"<font color=""#0000ff"">すでに</font>3つチケットを取っているので、今週は取れません。"	already	ɔlˈrɛdi	すでに	Adjective	[sound:engineer-vocabulary-list_000.mp3]	
I m{{c1::ade}} a p{{c1::ull}} {{c1::request}} yesterday. 	"昨日、<font color=""#0000ff"">プルリクを出し</font>ました。"	make a pull request 	meɪk ə pʊl rɪˈkwɛst 	プルリクを出す	Verb	[sound:engineer-vocabulary-list_001.mp3]	create a pull request
I'm d{{c1::eveloping}} social media now.	"今、SNSを<font color=""#0000ff"">開発し</font>ています。"	develop	dɪˈvɛləp	開発する	Verb	[sound:engineer-vocabulary-list_002.mp3]	
I think I'll r{{c1::evise}} it by the end of today.	"<font color=""#0000ff"">修正</font>は今日中に終わると思います。"	revise	rɪˈvaɪz	修正する	Verb	[sound:engineer-vocabulary-list_003.mp3]	correct
I m{{c1::erged}} the feature branch with the main branch.	"featureブランチをmainブランチに<font color=""#0000ff"">マージし</font>ました。"	merge	mɜrʤ	マージする	Verb	[sound:engineer-vocabulary-list_004.mp3]	
I'm w{{c1::orking}} {{c1::on}} this ticket with Ken.	"このチケットは、Kenさんと一緒に<font color=""#0000ff"">進め</font>ています。"	work on 	wɜrk ɑn 	進める	Verb	[sound:engineer-vocabulary-list_005.mp3]	move forward, proceed with (something)
I realized that the system was not w{{c1::orking}} properly. 	"システムがちゃんと<font color=""#0000ff"">動い</font>てないことがわかった。"	work	wɜrk	[システムが]動く	Verb	[sound:engineer-vocabulary-list_006.mp3]	operate 
I realized that the system was not working p{{c1::roperly}}. 	"システムが<font color=""#0000ff"">ちゃんと</font>動いてないことがわかった。"	properly	ˈprɑpərli	ちゃんと	Adjective	[sound:engineer-vocabulary-list_006.mp3]	
It seems that we'll m{{c1::ake}} the d{{c1::eadline}} next week.	"来週の<font color=""#0000ff"">締切には間に合い</font>そうです。"	make a deadline	meɪk ə ˈdɛˌdlaɪn	締切に間に合う	Verb	[sound:engineer-vocabulary-list_007.mp3]	be in time
Is there anyone whose s{{c1::tatus}} is ready for QA? / Is there anything with a s{{c1::tatus}} that is ready for QA?	"QAしてもらえる<font color=""#0000ff"">状態</font>のものがありますか。"	status	ˈstætəs	状態	Noun	[sound:engineer-vocabulary-list_008.mp3]	
We found some i{{c1::ssues}}.	"<font color=""#0000ff"">課題</font>が見つかった。"	issue	ˈɪʃu	課題	Noun	[sound:engineer-vocabulary-list_009.mp3]	
I'll share the r{{c1::equirements}} with the TLs tomorrow.	"<font color=""#0000ff"">要件</font>は明日、テックリード(TL)に共有します。"	requirements	rɪˈkwaɪrmənts	要件	Noun	[sound:engineer-vocabulary-list_010.mp3]	
The s{{c1::pecs}} haven't been decided yet.	"まだ<font color=""#0000ff"">仕様</font>が決まってない。"	spec	spɛk	仕様	Noun	[sound:engineer-vocabulary-list_011.mp3]	specification
The specs haven't t{{c1::aken}} {{c1::shape}} yet.	"まだ仕様が<font color=""#0000ff"">固まっ</font>ていません。"	take shape	teɪk ʃeɪp	固まる	Verb	[sound:engineer-vocabulary-list_012.mp3]	
It i{{c1::nterferes}} with our project.	"それによってプロジェクトに<font color=""#0000ff"">支障が出</font>ています。"	interfere 	ˌɪntərˈfɪr 	支障をきたす	Noun	[sound:engineer-vocabulary-list_013.mp3]	
This is not an incident that has an e{{c1::ffect}} on customers.	"これは、お客様に<font color=""#0000ff"">影響</font>があるインシデントじゃないです。"	effect	ɪˈfɛkt	影響	Noun	[sound:engineer-vocabulary-list_014.mp3]	
I will look into the c{{c1::auses}} now.	"これから<font color=""#0000ff"">原因</font>を調べます。"	cause	kɑz	原因	Noun	[sound:engineer-vocabulary-list_015.mp3]	
I'll c{{c1::onsult}} with my manager.	"マネージャーに<font color=""#0000ff"">相談する</font>。"	consult	kənˈsʌlt	相談する	Verb	[sound:engineer-vocabulary-list_016.mp3]	
Do you h{{c1::ave}} any d{{c1::ifficulties}}?	"何か<font color=""#0000ff"">困っ</font>てることがありますか。"	have difficulties	hæv ˈdɪfəkəltiz	困る	Verb	[sound:engineer-vocabulary-list_017.mp3]	
We are w{{c1::ith}} Team B o{{c1::n}} {{c1::doing}} this task.	"このタスクはteam Bと<font color=""#0000ff"">連携してやっ</font>ていきます。"	be with [sb] on doing [sth]	bi wɪð ɑn ˈduɪŋ	[人/チームと]連携する	Verb	[sound:engineer-vocabulary-list_018.mp3]	
I will s{{c1::ync}} with TL later.	"あとでテックリード(TL)と<font color=""#0000ff"">認識を合わせ</font>ておきます。"	sync	sɪŋk	認識を合わせる	Verb	[sound:engineer-vocabulary-list_019.mp3]	
I'll s{{c1::et}} goals / I am s{{c1::etting}} goals.	"目標を<font color=""#0000ff"">設定する</font>。"	set	sɛt	設定する	Verb	[sound:engineer-vocabulary-list_020.mp3]	
I edited it last week, but it isn't r{{c1::eflected}} on Jira yet.	"先週修正したけど、Jiraに<font color=""#0000ff"">反映さ</font>れてません。"	reflect	rəˈflɛkt	反映する	Verb	[sound:engineer-vocabulary-list_021.mp3]	
That method seems e{{c1::fficient}}.	"そのやり方は、<font color=""#0000ff"">効率がよさ</font>そう。"	efficient	ɪˈfɪʃənt	効率がよい	Noun	[sound:engineer-vocabulary-list_022.mp3]	
